longitude,latitude,altitude,iteration
44.9558,-0.96683,35.745948791503906,19
44.9558,-0.96579,36.70798110961914,19
44.9558,-0.96475,38.82147979736328,19
44.9558,-0.96371,40.22498321533203,19
44.9558,-0.96267,39.69553756713867,19
44.9558,-0.96163,38.14308166503906,19
44.9558,-0.96059,36.60105895996094,19
44.9558,-0.95955,37.126197814941406,19
44.9558,-0.95851,38.01633071899414,19
44.9558,-0.95747,38.00725173950195,19
44.9558,-0.95643,39.311676025390625,19
44.9558,-0.95539,39.53947830200195,19
44.9558,-0.95436,38.65217971801758,19
44.9558,-0.95332,38.424556732177734,19
44.9558,-0.95228,36.770179748535156,19
44.9558,-0.95124,34.92031478881836,19
44.9558,-0.9502,34.97885513305664,19
44.9558,-0.94916,36.33253479003906,19
44.9558,-0.94812,38.63041305541992,19
44.9558,-0.94708,37.80697250366211,19
44.9558,-0.94604,36.31193923950195,19
44.9558,-0.945,39.027042388916016,19
44.9558,-0.94396,39.454833984375,19
44.9558,-0.94292,39.197914123535156,19
44.9558,-0.94188,38.71418380737305,19
44.9558,-0.94084,38.76511001586914,19
44.9558,-0.9398,37.787506103515625,19
44.9558,-0.93876,37.662437438964844,19
44.9558,-0.93772,38.17207336425781,19
44.9558,-0.93668,38.32535171508789,19
44.9558,-0.93564,38.240013122558594,19
44.9558,-0.9346,37.84657287597656,19
44.9558,-0.93357,38.02742385864258,19
44.9558,-0.93253,40.26836013793945,19
44.9558,-0.93149,41.03597640991211,19
44.9558,-0.93045,44.29727554321289,19
44.9558,-0.92941,43.743770599365234,19
44.9558,-0.92837,46.649837493896484,19
44.9558,-0.92733,44.92142105102539,19
44.9558,-0.92629,43.94401550292969,19
44.9558,-0.92525,43.881927490234375,19
44.95379,-1.20903,2.3780622482299805,20
44.95379,-1.20799,7.561925411224365,20
44.95379,-1.20695,12.533676147460938,20
44.95379,-1.20591,9.495884895324707,20
44.95379,-1.20487,8.802338600158691,20
44.95379,-1.20383,11.740645408630371,20
44.95379,-1.20279,16.182201385498047,20
44.95379,-1.20175,21.549251556396484,20
44.95379,-1.20071,23.18547821044922,20
