long,lat,depth
-1.196,45.0,10.612763404846191
-1.1936,45.0,16.155237197875977
-1.1912,45.0,19.4461727142334
-1.1888,45.0,22.078706741333008
-1.1864,45.0,18.588077545166016
-1.184,45.0,25.2297306060791
-1.1816,45.0,23.46785926818848
-1.1792,45.0,19.5235652923584
-1.1768,45.0,19.13049697875977
-1.1744,45.0,21.51231575012207
-1.172,45.0,25.65920639038086
-1.1696,45.0,29.918960571289062
-1.1672,45.0,29.51093292236328
-1.1648,45.0,27.41539764404297
-1.1624,45.0,36.61214447021485
-1.16,45.0,40.13340377807617
-1.1576,45.0,39.00297546386719
-1.1552,45.0,46.951507568359375
-1.1528,45.0,45.64949035644531
-1.1504,45.0,37.18767547607422
-1.148,45.0,49.04185485839844
-1.1456,45.0,44.15485382080078
-1.1432,45.0,33.81861114501953
-1.1408,45.0,28.75242805480957
-1.1384,45.0,10.0
-1.136,45.0,10.0
-1.1336,45.0,10.0
-1.1312,45.0,10.0
-1.1288,45.0,10.0
-1.1264,45.0,10.0
-1.124,45.0,10.0
-1.1216,45.0,10.0
-1.1192,45.0,10.0
-1.1168,45.0,10.0
-1.1144,45.0,11.521307945251465
-1.112,45.0,12.728338241577148
-1.1096,45.0,13.83273696899414
-1.1072,45.0,17.54027557373047
-1.1048,45.0,18.0354061126709
-1.1024,45.0,15.704628944396973
-1.1,45.0,17.1259708404541
-1.0976,45.0,21.38169479370117
-1.0952,45.0,19.986412048339844
-1.0928,45.0,18.911739349365234
-1.0904,45.0,20.06871795654297
-1.088,45.0,18.39155960083008
-1.0856,45.0,18.770116806030277
-1.0832,45.0,17.192419052124023
-1.0808,45.0,16.333749771118164
-1.0784,45.0,16.934526443481445
-1.076,45.0,20.933460235595703
-1.0736,45.0,21.287687301635746
-1.0712,45.0,21.879472732543945
-1.0688,45.0,21.53364562988281
-1.0664,45.0,22.32261085510254
-1.064,45.0,22.714923858642575
-1.0616,45.0,22.420883178710938
-1.0592,45.0,26.14979362487793
-1.0568,45.0,27.4772891998291
-1.0544,45.0,21.270849227905277
-1.052,45.0,19.93885040283203
-1.0496,45.0,20.08826065063477
-1.0472,45.0,20.393159866333008
-1.0448,45.0,21.34476661682129
-1.0424,45.0,21.539093017578125
-1.04,45.0,20.012365341186523
-1.0376,45.0,24.259502410888672
-1.0352,45.0,25.4078369140625
-1.0328,45.0,24.75686454772949
-1.0304,45.0,26.9068603515625
-1.028,45.0,26.591651916503903
-1.0256,45.0,28.648582458496094
-1.0232,45.0,29.10788345336914
-1.0208,45.0,28.718965530395508
-1.0184,45.0,27.57928276062012
-1.016,45.0,28.260425567626957
-1.0136,45.0,28.02597999572754
-1.0112,45.0,27.023611068725582
-1.0088,45.0,28.784482955932617
-1.0064,45.0,31.71542358398437
-1.004,45.0,31.894365310668945
-1.0016,45.0,31.81114387512207
-0.9992,45.0,31.464435577392575
-0.9968,45.0,29.84316062927246
-0.9944,45.0,29.843647003173828
-0.992,45.0,31.07034111022949
-0.9896,45.0,31.26757049560547
-0.9872,45.0,31.54566764831543
-0.9848,45.0,31.010231018066406
-0.9824,45.0,31.94272804260254
-0.98,45.0,33.68858337402344
-0.9776,45.0,36.5213508605957
-0.9752,45.0,35.02116394042969
-0.9728,45.0,33.47393035888672
-0.9704,45.0,39.446434020996094
-0.968,45.0,37.32394027709961
-0.9656,45.0,32.9464225769043
-0.9632,45.0,33.42330551147461
-0.9608,45.0,37.561519622802734
-0.9584,45.0,38.85694885253906
-0.956,45.0,39.75695037841797
-0.9536,45.0,36.07390975952149
-0.9512,45.0,35.976715087890625
-0.9488,45.0,37.52062225341797
-0.9464,45.0,38.22216796875
-0.944,45.0,37.81051254272461
-0.9416,45.0,37.97978591918945
-0.9392,45.0,35.54717254638672
-0.9368,45.0,37.00419998168945
-0.9344,45.0,37.20831298828125
-0.932,45.0,39.46376037597656
-0.9296,45.0,41.0488166809082
-0.9272,45.0,35.90544509887695
-0.9248,45.0,37.71907424926758
-0.9224,45.0,36.817020416259766
-0.92,45.0,35.644046783447266
-0.9176,45.0,36.68754577636719
-0.9152,45.0,36.8252067565918
-0.9128,45.0,38.77825164794922
-0.9104,45.0,37.3408432006836
-0.908,45.0,37.40492630004883
-0.9056,45.0,39.29445266723633
-0.9032,45.0,38.15293884277344
-0.9008,45.0,38.8588981628418
-0.8984,45.0,37.56570053100586
-0.896,45.0,38.19642639160156
-0.8936,45.0,38.36180114746094
-0.8912,45.0,36.763065338134766
-0.8888,45.0,37.36381530761719
-0.8864,45.0,36.60332107543945
-0.884,45.0,36.98963165283203
-0.8816,45.0,36.882694244384766
-0.8792,45.0,38.47043991088867
-0.8768,45.0,39.40181350708008
-0.8744,45.0,39.15313720703125
-0.872,45.0,39.78287124633789
-0.8696,45.0,38.93257522583008
-0.8672,45.0,40.32514572143555
-0.8648,45.0,39.718727111816406
-0.8624,45.0,38.61715316772461
-0.86,45.0,42.10806274414063
-0.8576,45.0,40.62107849121094
-0.8552,45.0,39.19798278808594
-0.8528,45.0,36.37605285644531
-0.8504,45.0,36.32099914550781
-0.848,45.0,37.22029876708984
-0.8456,45.0,36.29366302490234
-0.8432,45.0,36.71540069580078
-0.8408,45.0,37.37252807617188
-0.8384,45.0,36.9484977722168
-0.836,45.0,39.62046432495117
-0.8336,45.0,39.88137435913086
-0.8312,45.0,37.8965950012207
-0.8288,45.0,38.074485778808594
-0.8264,45.0,35.1222038269043
-0.824,45.0,36.22817611694336
-0.8216,45.0,39.313594818115234
-0.8192,45.0,39.15475463867188
-0.8168,45.0,39.59738159179688
